epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,318.054,1.37214,2.20878,1.42035,0.51023,0.41691,0.37189,0.14142,2.04297,2.25851,2.04163,0.00332479,0.00332479,0.00332479
2,668.722,1.18657,1.09145,1.21797,0.66067,0.60897,0.61735,0.29311,1.96088,1.71457,1.8781,0.00645213,0.00645213,0.00645213
3,1013.79,1.21639,0.95417,1.2394,0.54688,0.4533,0.41586,0.17886,2.28993,2.21904,2.13794,0.00937323,0.00937323,0.00937323
4,1357.57,1.21285,0.88776,1.23501,0.57398,0.47619,0.47322,0.22547,2.12054,1.77292,1.90749,0.00907188,0.00907188,0.00907188
5,1884.38,1.09149,0.73588,1.16185,0.63722,0.49542,0.5489,0.2378,2.06672,1.68961,1.95312,0.0087625,0.0087625,0.0087625
6,2453.94,1.01591,0.64763,1.11604,0.6415,0.51452,0.5707,0.27893,1.965,1.50224,1.87359,0.00845313,0.00845313,0.00845313
7,3017.23,0.95702,0.59623,1.08279,0.70124,0.51969,0.57563,0.27427,2.06245,1.52424,1.92903,0.00814375,0.00814375,0.00814375
8,3584.51,0.91232,0.55084,1.05985,0.7004,0.60623,0.62621,0.30666,2.01019,1.37793,1.84626,0.00783438,0.00783438,0.00783438
9,4155.28,0.86906,0.51096,1.03422,0.67281,0.55952,0.58958,0.30405,1.99066,1.38382,1.84552,0.007525,0.007525,0.007525
10,4720.94,0.83883,0.48771,1.0215,0.70257,0.49103,0.56291,0.29899,2.06463,1.51698,1.90719,0.00721562,0.00721562,0.00721562
11,5293.08,0.80903,0.46317,1.00389,0.6333,0.50845,0.56052,0.27934,2.23207,1.68497,2.06849,0.00690625,0.00690625,0.00690625
12,5875.82,0.77402,0.43995,0.99073,0.6521,0.55769,0.57441,0.29498,2.10698,1.5935,1.94892,0.00659688,0.00659688,0.00659688
13,6454.42,0.75773,0.42714,0.98155,0.7073,0.59637,0.64099,0.32886,2.03021,1.37198,1.89655,0.0062875,0.0062875,0.0062875
14,7027.87,0.73497,0.412,0.97254,0.70423,0.57967,0.61859,0.31102,2.04596,1.52041,1.96848,0.00597812,0.00597812,0.00597812
15,7613.44,0.70949,0.39565,0.96276,0.63422,0.53205,0.5552,0.29025,2.23389,1.69234,2.14387,0.00566875,0.00566875,0.00566875
16,8198.15,0.69136,0.38196,0.95472,0.77067,0.50183,0.60765,0.30098,2.17147,1.70036,2.02942,0.00535937,0.00535937,0.00535937
17,8775.21,0.67957,0.37382,0.94976,0.62933,0.58242,0.58848,0.30573,2.19163,1.49251,2.055,0.00505,0.00505,0.00505
18,9352.32,0.65832,0.36271,0.94365,0.6888,0.54523,0.5993,0.3139,2.11664,1.59639,2.0441,0.00474063,0.00474063,0.00474063
19,9936.96,0.6344,0.34881,0.93291,0.6559,0.53617,0.58592,0.32234,2.06375,1.64403,1.97504,0.00443125,0.00443125,0.00443125
20,10512.5,0.61863,0.33847,0.9271,0.71825,0.54743,0.60507,0.33434,2.03202,1.58718,1.93921,0.00412187,0.00412187,0.00412187
21,11096.5,0.6084,0.33233,0.92288,0.70508,0.5435,0.60201,0.32256,2.09968,1.63157,2.00689,0.0038125,0.0038125,0.0038125
22,11676.7,0.58914,0.32308,0.91648,0.7443,0.49222,0.57784,0.30924,2.13163,1.74011,2.02434,0.00350313,0.00350313,0.00350313
23,12260.1,0.50127,0.24782,0.85152,0.71225,0.53571,0.59954,0.32895,2.06377,1.6616,2.04739,0.00319375,0.00319375,0.00319375
24,12829.1,0.47134,0.23508,0.84157,0.69368,0.538,0.60389,0.3283,2.12811,1.62185,2.08357,0.00288438,0.00288438,0.00288438
25,13403.1,0.44592,0.22853,0.83433,0.72559,0.52301,0.61389,0.33289,2.10421,1.61787,2.0641,0.002575,0.002575,0.002575
26,13969.7,0.42568,0.21626,0.82743,0.71534,0.53617,0.62211,0.34055,2.07523,1.59712,2.05462,0.00226562,0.00226562,0.00226562
27,14558.5,0.40655,0.20522,0.81806,0.70561,0.55861,0.62076,0.34906,2.07679,1.62478,2.09107,0.00195625,0.00195625,0.00195625
28,15152.7,0.38555,0.19729,0.81425,0.71274,0.55403,0.6185,0.34425,2.1114,1.70518,2.12791,0.00164688,0.00164688,0.00164688
29,15532.2,0.3689,0.1903,0.81082,0.69995,0.54579,0.61855,0.34448,2.09201,1.70282,2.11431,0.0013375,0.0013375,0.0013375
30,15858.2,0.3479,0.18123,0.80456,0.67226,0.55131,0.6125,0.33882,2.11238,1.68534,2.14867,0.00102812,0.00102812,0.00102812
31,16181,0.33174,0.17322,0.80043,0.67712,0.5554,0.61336,0.3348,2.12511,1.6749,2.17807,0.00071875,0.00071875,0.00071875
32,16504.2,0.31437,0.16482,0.79563,0.69733,0.53709,0.60927,0.33588,2.12742,1.69092,2.18544,0.000409375,0.000409375,0.000409375
