epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.465,1.32466,2.06272,1.37979,0.77693,0.73017,0.79182,0.43692,1.487,1.34632,1.45609,0.00332768,0.00332768,0.00332768
2,677.455,1.17501,1.04938,1.22223,0.63318,0.63332,0.6132,0.31244,1.71374,1.45095,1.63861,0.00645494,0.00645494,0.00645494
3,1019.61,1.23302,0.96477,1.25336,0.64787,0.57735,0.61224,0.2934,1.89838,1.33902,1.74163,0.00937595,0.00937595,0.00937595
4,1351.62,1.1142,0.79084,1.18983,0.69495,0.64592,0.69118,0.36992,1.65876,1.22894,1.6085,0.00907188,0.00907188,0.00907188
5,1678.67,1.03211,0.68405,1.13419,0.75762,0.67515,0.73378,0.3799,1.80047,1.17952,1.69867,0.0087625,0.0087625,0.0087625
6,2008.54,0.97373,0.61472,1.10111,0.81974,0.71233,0.78481,0.41657,1.70453,1.13989,1.62925,0.00845313,0.00845313,0.00845313
7,2336.85,0.92779,0.56829,1.07584,0.66178,0.57907,0.62638,0.32224,1.82974,1.39915,1.68751,0.00814375,0.00814375,0.00814375
8,2667.38,0.88296,0.52984,1.04968,0.77996,0.67641,0.72652,0.38092,1.7927,1.20545,1.67404,0.00783438,0.00783438,0.00783438
9,2993.59,0.85105,0.50018,1.03225,0.78614,0.65112,0.71613,0.36451,1.85284,1.24738,1.73115,0.007525,0.007525,0.007525
10,3323.16,0.81772,0.47551,1.01672,0.78886,0.69003,0.75081,0.37795,1.8381,1.13382,1.75103,0.00721562,0.00721562,0.00721562
11,3651.28,0.79313,0.45386,1.00559,0.7475,0.62527,0.68134,0.35188,1.8473,1.40588,1.75513,0.00690625,0.00690625,0.00690625
12,3981.41,0.76837,0.43409,0.99118,0.71407,0.6333,0.69326,0.36172,1.80903,1.24809,1.6704,0.00659688,0.00659688,0.00659688
13,4308.25,0.74355,0.42162,0.98143,0.72417,0.66614,0.71109,0.38335,1.81714,1.1093,1.69543,0.0062875,0.0062875,0.0062875
14,4638.6,0.71862,0.40348,0.9712,0.72798,0.66359,0.70555,0.35367,1.8915,1.22214,1.77477,0.00597812,0.00597812,0.00597812
15,4968.2,0.70546,0.39178,0.96466,0.78843,0.70245,0.75157,0.37932,1.86198,1.12123,1.75186,0.00566875,0.00566875,0.00566875
16,5299.36,0.687,0.38023,0.95574,0.71126,0.65467,0.71371,0.36457,1.93492,1.19081,1.83488,0.00535937,0.00535937,0.00535937
17,5626.37,0.66671,0.36948,0.94946,0.75163,0.67003,0.72758,0.36908,1.93259,1.13366,1.8323,0.00505,0.00505,0.00505
18,5957.07,0.65119,0.35907,0.94023,0.70699,0.64954,0.69608,0.34035,1.97941,1.29188,1.87222,0.00474063,0.00474063,0.00474063
19,6289.63,0.63091,0.34508,0.93374,0.7022,0.66855,0.69869,0.34941,1.9291,1.21967,1.84492,0.00443125,0.00443125,0.00443125
20,6618.21,0.62005,0.33754,0.92863,0.68933,0.64352,0.67803,0.33826,1.97436,1.31895,1.85977,0.00412187,0.00412187,0.00412187
21,6944.97,0.60143,0.32919,0.92233,0.76901,0.66932,0.72751,0.3736,1.9485,1.12646,1.87858,0.0038125,0.0038125,0.0038125
22,7276.26,0.58871,0.32101,0.91931,0.72996,0.62776,0.69467,0.35799,1.96583,1.28053,1.88042,0.00350313,0.00350313,0.00350313
23,7605.41,0.50191,0.24807,0.85459,0.73803,0.63778,0.70477,0.36335,1.91884,1.23404,1.84078,0.00319375,0.00319375,0.00319375
24,7930.04,0.47304,0.23573,0.84467,0.76057,0.61867,0.70721,0.37608,1.92805,1.28012,1.85948,0.00288438,0.00288438,0.00288438
25,8257.26,0.45243,0.22704,0.8377,0.7403,0.61835,0.69655,0.37034,1.90201,1.33481,1.84979,0.002575,0.002575,0.002575
26,8583.1,0.4299,0.21716,0.82988,0.76833,0.63392,0.71365,0.37848,1.9082,1.30837,1.87521,0.00226562,0.00226562,0.00226562
27,8910.18,0.41001,0.20787,0.82309,0.72772,0.66754,0.7177,0.37797,1.945,1.29204,1.89451,0.00195625,0.00195625,0.00195625
28,9238.31,0.39446,0.20067,0.82006,0.70786,0.64033,0.69607,0.36497,1.99438,1.4025,1.93454,0.00164688,0.00164688,0.00164688
29,9566.96,0.37421,0.19177,0.81361,0.75348,0.64362,0.7111,0.37473,1.96524,1.3406,1.92038,0.0013375,0.0013375,0.0013375
30,9891.72,0.35528,0.18411,0.80783,0.73646,0.65166,0.70894,0.37475,1.98409,1.3491,1.95683,0.00102812,0.00102812,0.00102812
31,10217.9,0.33818,0.1763,0.80257,0.7395,0.66422,0.72412,0.38701,1.96913,1.2878,1.96652,0.00071875,0.00071875,0.00071875
32,10535.2,0.32262,0.16783,0.8007,0.72893,0.65878,0.71496,0.37919,1.98717,1.30967,1.99161,0.000409375,0.000409375,0.000409375
