epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.309,1.3598,2.17258,1.40063,0.79169,0.72165,0.77679,0.4748,1.32171,1.31163,1.39279,0.00332487,0.00332487,0.00332487
2,648.207,1.18886,1.08884,1.21954,0.56459,0.41851,0.44381,0.24628,1.69533,1.90035,1.63479,0.00645222,0.00645222,0.00645222
3,970.701,1.21857,0.94745,1.2372,0.60237,0.61388,0.61617,0.32418,1.75792,1.52115,1.74929,0.00937331,0.00937331,0.00937331
4,1295.71,1.21094,0.88686,1.24051,0.58391,0.43669,0.43444,0.1963,2.33065,2.04931,2.19373,0.00907188,0.00907188,0.00907188
5,1615.99,1.10221,0.73339,1.16663,0.82296,0.68691,0.75107,0.42354,1.73529,1.03279,1.7158,0.0087625,0.0087625,0.0087625
6,1935.04,1.02541,0.65102,1.122,0.65064,0.5038,0.54017,0.32393,1.93161,1.41375,1.86878,0.00845313,0.00845313,0.00845313
7,2254.72,0.96496,0.59537,1.08696,0.68265,0.48213,0.53354,0.3088,1.98836,1.51717,1.86323,0.00814375,0.00814375,0.00814375
8,2577.47,0.9239,0.55059,1.06361,0.72972,0.68991,0.72339,0.4039,1.71401,1.08929,1.67248,0.00783438,0.00783438,0.00783438
9,2890.3,0.87676,0.51645,1.03885,0.68001,0.52408,0.56142,0.31094,2.02563,1.48625,1.91059,0.007525,0.007525,0.007525
10,3204.15,0.84327,0.48752,1.02376,0.79106,0.70413,0.75434,0.43148,1.73516,1.11724,1.73229,0.00721562,0.00721562,0.00721562
11,3517.18,0.81339,0.46488,1.0078,0.71595,0.65256,0.68107,0.37277,1.89286,1.17075,1.86177,0.00690625,0.00690625,0.00690625
12,3830.48,0.78324,0.44352,0.99411,0.7991,0.59696,0.66944,0.38183,1.89647,1.17921,1.89287,0.00659688,0.00659688,0.00659688
13,4144.58,0.75932,0.42452,0.98129,0.68237,0.57388,0.60032,0.33865,1.97381,1.41298,1.92074,0.0062875,0.0062875,0.0062875
14,4459.11,0.73526,0.40888,0.97377,0.74663,0.6486,0.69516,0.39199,1.87401,1.18068,1.86688,0.00597812,0.00597812,0.00597812
15,4774.18,0.71964,0.39642,0.96672,0.79145,0.66876,0.72973,0.44349,1.73083,1.11734,1.71825,0.00566875,0.00566875,0.00566875
16,5086.91,0.69772,0.38357,0.95713,0.73603,0.65752,0.71082,0.43,1.76597,1.13998,1.77487,0.00535937,0.00535937,0.00535937
17,5403.08,0.67921,0.37317,0.94769,0.75013,0.64529,0.71151,0.42605,1.76525,1.14884,1.80858,0.00505,0.00505,0.00505
18,5716.37,0.65895,0.35848,0.94146,0.72166,0.64992,0.69133,0.39976,1.8388,1.17967,1.85653,0.00474063,0.00474063,0.00474063
19,6028.57,0.64112,0.35031,0.93555,0.75098,0.64562,0.69057,0.40585,1.82004,1.14671,1.83291,0.00443125,0.00443125,0.00443125
20,6342.5,0.62453,0.34078,0.92872,0.74856,0.65839,0.71857,0.41531,1.84939,1.12646,1.87583,0.00412187,0.00412187,0.00412187
21,6656.73,0.6097,0.33226,0.92363,0.79835,0.66619,0.7268,0.43565,1.8086,1.06865,1.87398,0.0038125,0.0038125,0.0038125
22,6971.83,0.59668,0.32412,0.91785,0.78563,0.64165,0.70898,0.42191,1.82413,1.14813,1.84953,0.00350313,0.00350313,0.00350313
23,7289.81,0.50561,0.25049,0.85435,0.79193,0.68,0.74302,0.45131,1.77004,1.02551,1.81726,0.00319375,0.00319375,0.00319375
24,7609.54,0.47529,0.2383,0.8453,0.79271,0.65421,0.73428,0.43544,1.81741,1.06884,1.85757,0.00288438,0.00288438,0.00288438
25,7926.7,0.4505,0.22703,0.83588,0.78749,0.65661,0.73192,0.43571,1.82803,1.06568,1.88859,0.002575,0.002575,0.002575
26,8239.75,0.43253,0.21712,0.82741,0.8029,0.66612,0.7472,0.44391,1.80887,1.03147,1.88395,0.00226562,0.00226562,0.00226562
27,8551.39,0.41151,0.20869,0.82323,0.7996,0.66479,0.74736,0.44378,1.81137,1.02959,1.89144,0.00195625,0.00195625,0.00195625
28,8863.1,0.39133,0.19893,0.81604,0.76675,0.68026,0.74085,0.4388,1.82817,1.05315,1.91987,0.00164688,0.00164688,0.00164688
29,9179.36,0.37281,0.18927,0.8119,0.75286,0.65758,0.72834,0.44062,1.83572,1.07948,1.944,0.0013375,0.0013375,0.0013375
30,9497.2,0.35564,0.18266,0.80792,0.77922,0.63702,0.72322,0.43648,1.84261,1.11412,1.94859,0.00102812,0.00102812,0.00102812
31,9820.21,0.33687,0.17332,0.80123,0.78342,0.63735,0.72567,0.43618,1.85636,1.10506,1.98003,0.00071875,0.00071875,0.00071875
32,10127.7,0.32062,0.16581,0.79742,0.7811,0.63817,0.72666,0.43584,1.86737,1.11227,2.00109,0.000409375,0.000409375,0.000409375
