epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.14589,1.98827,3.66046,2.01304,0.00311,0.64486,0.00637,0.00206,2.07185,3.77543,2.07137,0.0002,0.0002,0.0002
2,123.559,1.60109,2.94751,1.58106,0.3276,0.35514,0.28948,0.13546,1.78366,3.40613,1.702,0.000413503,0.000413503,0.000413503
3,132.14,1.48626,2.13953,1.44093,1,0.07252,0.36204,0.16061,1.68271,3.28525,1.73773,0.0006202,0.0006202,0.0006202
4,140.261,1.45745,1.95475,1.40976,0.68739,0.27103,0.33912,0.15091,1.72009,3.04945,1.87703,0.000820091,0.000820091,0.000820091
5,148.38,1.40422,1.82047,1.41792,0.61852,0.27103,0.3283,0.15692,1.58435,2.96253,1.68862,0.00101318,0.00101318,0.00101318
6,156.487,1.42489,1.71779,1.39736,0.55109,0.20561,0.22141,0.07386,2.11984,3.49011,2.41446,0.00119945,0.00119945,0.00119945
7,164.605,1.43814,1.66519,1.3909,0.53256,0.18692,0.3279,0.14648,1.86367,2.82653,1.98829,0.00137893,0.00137893,0.00137893
8,172.735,1.43504,1.57959,1.42531,0.08713,0.21495,0.0569,0.02177,2.57378,3.59224,2.60461,0.00155159,0.00155159,0.00155159
9,180.889,1.41394,1.51071,1.41678,0.42594,0.20561,0.22014,0.1018,2.144,2.68721,2.29818,0.00171745,0.00171745,0.00171745
10,189.037,1.39202,1.39193,1.36337,0.004,0.04673,0.0048,0.00129,3.06099,3.79968,3.12295,0.00172156,0.00172156,0.00172156
11,197.234,1.39346,1.37988,1.40189,0.3114,0.05607,0.05126,0.01689,2.9186,3.84101,3.51118,0.00169063,0.00169063,0.00169063
12,205.458,1.37383,1.29186,1.3955,0.59015,0.51402,0.50972,0.25608,1.68599,2.10882,1.73471,0.00165969,0.00165969,0.00165969
13,213.734,1.34404,1.22235,1.35488,0.30851,0.22517,0.18773,0.07384,2.01523,2.72009,1.90248,0.00162875,0.00162875,0.00162875
14,222.008,1.31923,1.19362,1.33815,0.5907,0.40467,0.45729,0.22188,1.72407,1.96409,1.65671,0.00159781,0.00159781,0.00159781
15,230.297,1.31855,1.17147,1.34256,0.59272,0.48967,0.50226,0.24336,1.74907,1.94655,1.69293,0.00156688,0.00156688,0.00156688
16,238.662,1.33228,1.13,1.3554,0.25033,0.3271,0.18037,0.0631,2.3014,2.77151,2.1994,0.00153594,0.00153594,0.00153594
17,247.026,1.30907,1.09911,1.31621,0.53518,0.5703,0.55291,0.26999,1.76564,1.66484,1.78501,0.001505,0.001505,0.001505
18,255.498,1.27242,1.05965,1.2952,0.39425,0.40187,0.34255,0.15953,1.77836,2.17619,1.86025,0.00147406,0.00147406,0.00147406
19,264.013,1.21575,1.04273,1.28614,0.46715,0.43925,0.37637,0.16873,1.94129,2.18267,1.83326,0.00144312,0.00144312,0.00144312
20,272.792,1.21328,1.03646,1.27865,0.57176,0.56075,0.54787,0.28551,1.63536,2.00857,1.67876,0.00141219,0.00141219,0.00141219
21,281.303,1.2202,0.99482,1.28519,0.42569,0.57499,0.47453,0.24465,1.81365,2.01826,1.82816,0.00138125,0.00138125,0.00138125
22,290.064,1.18031,0.94967,1.25402,0.75674,0.74766,0.80249,0.39133,1.62529,1.51821,1.62015,0.00135031,0.00135031,0.00135031
23,298.633,1.16177,0.95355,1.25968,0.69829,0.62728,0.69196,0.33719,1.64005,1.46027,1.66759,0.00131938,0.00131938,0.00131938
24,307.181,1.17129,0.92791,1.24871,0.8073,0.8222,0.86156,0.49272,1.44282,1.04688,1.44379,0.00128844,0.00128844,0.00128844
25,315.773,1.13061,0.86056,1.21658,0.80548,0.70093,0.81122,0.45985,1.48483,1.10187,1.46495,0.0012575,0.0012575,0.0012575
26,324.244,1.11755,0.85545,1.20017,0.87001,0.7757,0.87828,0.50555,1.44789,0.98888,1.54197,0.00122656,0.00122656,0.00122656
27,332.822,1.12062,0.83833,1.20526,0.71969,0.72897,0.713,0.40104,1.54021,1.23415,1.60606,0.00119562,0.00119562,0.00119562
28,341.367,1.12268,0.84152,1.20566,0.76531,0.85981,0.86233,0.48573,1.46738,0.91144,1.50675,0.00116469,0.00116469,0.00116469
29,349.913,1.0939,0.7933,1.19401,0.76972,0.78505,0.80503,0.50336,1.38745,1.02211,1.42551,0.00113375,0.00113375,0.00113375
30,358.463,1.08534,0.76967,1.18545,0.76741,0.86341,0.83704,0.50738,1.38407,1.03151,1.44306,0.00110281,0.00110281,0.00110281
31,367.083,1.04968,0.76183,1.1709,0.90531,0.83178,0.89915,0.53127,1.38688,0.84116,1.44163,0.00107187,0.00107187,0.00107187
32,376.421,1.0422,0.76991,1.17282,0.83702,0.70093,0.82695,0.45464,1.50097,1.13081,1.52484,0.00104094,0.00104094,0.00104094
33,384.854,1.02331,0.77056,1.15993,0.69918,0.79439,0.7784,0.4163,1.58733,1.08386,1.60838,0.00101,0.00101,0.00101
34,393.441,1.00178,0.72797,1.1434,0.83242,0.83567,0.85693,0.52596,1.38833,0.92248,1.43218,0.000979063,0.000979063,0.000979063
35,401.975,0.9758,0.69226,1.13166,0.8108,0.85047,0.87771,0.50996,1.47882,0.87051,1.48969,0.000948125,0.000948125,0.000948125
36,410.57,0.98557,0.69507,1.13493,0.79181,0.71963,0.78995,0.47868,1.45079,1.06554,1.48455,0.000917188,0.000917188,0.000917188
37,419.127,0.96843,0.68688,1.11243,0.79021,0.79439,0.84768,0.53548,1.38959,0.87697,1.40326,0.00088625,0.00088625,0.00088625
38,427.948,0.95684,0.65574,1.11771,0.79665,0.65421,0.75179,0.36774,1.75572,1.20197,1.73708,0.000855313,0.000855313,0.000855313
39,436.444,0.94308,0.65494,1.11623,0.80757,0.75701,0.83154,0.49452,1.44246,0.93199,1.47169,0.000824375,0.000824375,0.000824375
