epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.71446,1.998,3.66974,2.00893,0.00305,0.69811,0.00369,0.00117,2.39624,4.05433,2.3773,8e-05,8e-05,8e-05
2,9.02801,1.96691,3.63986,2.01361,0.00305,0.69811,0.00442,0.00134,2.36264,4.02018,2.33044,0.000177216,0.000177216,0.000177216
3,13.3512,1.74014,3.41217,1.70459,0.00403,0.92453,0.30252,0.13143,1.74315,3.43154,1.54508,0.000271338,0.000271338,0.000271338
4,17.8034,1.48673,2.64518,1.39289,0.0042,0.96226,0.23239,0.09099,1.8887,3.50577,1.6382,0.000362366,0.000362366,0.000362366
5,22.2637,1.48789,2.23276,1.4045,0.0079,0.76415,0.30554,0.12002,1.74573,3.41397,1.66297,0.0004503,0.0004503,0.0004503
6,26.7149,1.45108,2.06936,1.41228,0.00407,0.93396,0.23462,0.08038,1.8232,3.54732,1.68807,0.000535141,0.000535141,0.000535141
7,31.1716,1.43784,1.9258,1.38669,1,0.03704,0.26157,0.10953,1.7748,3.4543,1.54531,0.000616888,0.000616888,0.000616888
8,35.6113,1.41175,1.88752,1.3392,0.66824,0.01905,0.13258,0.04306,2.01344,3.71189,1.82485,0.000695541,0.000695541,0.000695541
9,40.07,1.35563,1.77272,1.35515,0.72789,0.10108,0.22785,0.09454,1.6455,3.33317,1.69019,0.0007711,0.0007711,0.0007711
10,44.5162,1.35585,1.70851,1.35351,0.56832,0.04988,0.17066,0.06998,1.86737,3.56582,2.05181,0.000843566,0.000843566,0.000843566
11,49.1457,1.37519,1.68919,1.34348,0.39914,0.03774,0.05677,0.01947,2.28975,3.97886,2.64659,0.000912938,0.000912938,0.000912938
12,53.7905,1.31834,1.59551,1.3146,0.45153,0.04665,0.09779,0.03178,2.44218,3.96299,2.90076,0.000979216,0.000979216,0.000979216
13,58.4286,1.36635,1.60802,1.36657,0.24598,0.07547,0.05816,0.01293,2.18531,3.97909,2.4538,0.0010424,0.0010424,0.0010424
14,62.975,1.34762,1.5309,1.35108,0.37508,0.08491,0.13435,0.04132,2.29341,3.8231,2.38085,0.00110249,0.00110249,0.00110249
15,67.4832,1.36897,1.45718,1.3264,0.53114,0.37407,0.36722,0.16201,1.87658,2.91329,1.94411,0.00115949,0.00115949,0.00115949
16,72.0024,1.34213,1.43218,1.32919,0.58246,0.48696,0.44016,0.19286,1.72311,2.58413,1.88464,0.00121339,0.00121339,0.00121339
17,76.5275,1.34111,1.41363,1.35381,0.765,0.18435,0.2726,0.10948,2.01617,3.05869,1.94955,0.0012642,0.0012642,0.0012642
18,81.0344,1.36274,1.43055,1.35525,0.05315,0.24309,0.05368,0.02075,2.2044,3.3805,2.44125,0.00131192,0.00131192,0.00131192
19,85.5215,1.29668,1.3183,1.32112,0.18738,0.22642,0.10757,0.04258,2.09275,3.16097,2.225,0.00135654,0.00135654,0.00135654
20,89.9898,1.32472,1.28236,1.3117,0.13237,0.01887,0.01883,0.00342,2.79309,3.91248,2.91196,0.00139807,0.00139807,0.00139807
21,94.4922,1.31549,1.30301,1.32841,0.11367,0.09434,0.04745,0.01575,2.46276,3.55337,2.61271,0.00138125,0.00138125,0.00138125
22,99.0042,1.337,1.266,1.32793,0.44935,0.33962,0.31008,0.12912,1.99122,2.51614,2.02961,0.00135031,0.00135031,0.00135031
23,103.498,1.32223,1.27568,1.34262,0.33371,0.38679,0.33536,0.15125,1.877,2.38917,1.88801,0.00131938,0.00131938,0.00131938
24,108.062,1.31129,1.25644,1.33176,0.35075,0.26415,0.28613,0.14467,1.85445,2.63898,1.84624,0.00128844,0.00128844,0.00128844
25,112.641,1.27974,1.22624,1.31736,0.51226,0.26415,0.30281,0.14992,1.99735,2.43502,1.93556,0.0012575,0.0012575,0.0012575
26,117.193,1.29157,1.15135,1.30271,0.29149,0.22126,0.2245,0.08776,2.09669,2.87379,2.02155,0.00122656,0.00122656,0.00122656
27,121.775,1.30671,1.20431,1.29728,0.28337,0.31132,0.2373,0.08974,2.07285,2.68343,2.07405,0.00119562,0.00119562,0.00119562
28,126.336,1.29517,1.20447,1.30276,0.50227,0.39623,0.41792,0.16265,2.0776,2.34876,2.04994,0.00116469,0.00116469,0.00116469
29,130.884,1.3012,1.15471,1.30492,0.51634,0.42302,0.44371,0.20536,1.85993,2.1688,1.86267,0.00113375,0.00113375,0.00113375
30,135.51,1.26036,1.11981,1.28583,0.40143,0.25472,0.23188,0.10657,2.22324,4.08386,2.35982,0.00110281,0.00110281,0.00110281
31,140.117,1.18013,1.01237,1.2154,0.49151,0.27358,0.2623,0.12017,2.17671,2.56783,2.00826,0.00107187,0.00107187,0.00107187
32,144.706,1.18105,0.99408,1.23162,0.58388,0.5283,0.54813,0.25542,1.8146,1.80734,1.78568,0.00104094,0.00104094,0.00104094
33,149.349,1.18604,0.96956,1.23414,0.62595,0.61571,0.60811,0.31364,1.74782,1.79081,1.72701,0.00101,0.00101,0.00101
34,153.98,1.18357,0.96841,1.22879,0.64733,0.54717,0.59384,0.33311,1.6005,1.71786,1.63712,0.000979063,0.000979063,0.000979063
35,158.615,1.17982,0.95681,1.21228,0.6705,0.68868,0.70102,0.39095,1.57141,1.38305,1.58,0.000948125,0.000948125,0.000948125
36,163.222,1.12612,0.93194,1.19298,0.69148,0.61321,0.65051,0.34947,1.64749,1.488,1.61514,0.000917188,0.000917188,0.000917188
37,167.835,1.11223,0.90549,1.19562,0.78836,0.62264,0.70267,0.33779,1.67012,1.38061,1.67702,0.00088625,0.00088625,0.00088625
38,172.408,1.1513,0.91257,1.21397,0.68003,0.66166,0.67681,0.33512,1.61447,1.44583,1.61648,0.000855313,0.000855313,0.000855313
39,177.076,1.10393,0.89227,1.18161,0.72177,0.66981,0.72584,0.37264,1.56427,1.39362,1.56161,0.000824375,0.000824375,0.000824375
40,181.777,1.07343,0.84734,1.16906,0.77075,0.60265,0.68019,0.34931,1.67332,1.47069,1.68123,0.000793437,0.000793437,0.000793437
41,186.379,1.05283,0.83914,1.15735,0.75212,0.71562,0.73011,0.38983,1.54396,1.4511,1.59263,0.0007625,0.0007625,0.0007625
42,191.11,1.07783,0.84478,1.16832,0.73664,0.64151,0.69719,0.32858,1.64908,1.58366,1.68081,0.000731563,0.000731563,0.000731563
43,195.799,1.06605,0.82312,1.1568,0.81978,0.72954,0.77151,0.4142,1.54536,1.23102,1.58326,0.000700625,0.000700625,0.000700625
44,200.571,1.09153,0.82389,1.1812,0.81588,0.75472,0.75615,0.42647,1.50862,1.24387,1.50642,0.000669688,0.000669688,0.000669688
45,205.245,1.03318,0.78365,1.14568,0.70902,0.68868,0.64658,0.33691,1.63019,1.49121,1.60271,0.00063875,0.00063875,0.00063875
46,209.92,1.03779,0.76298,1.14172,0.77234,0.68868,0.7749,0.41693,1.55925,1.2286,1.57776,0.000607812,0.000607812,0.000607812
47,214.56,1.01084,0.76655,1.125,0.7913,0.72642,0.77014,0.43925,1.54615,1.27437,1.56806,0.000576875,0.000576875,0.000576875
48,219.276,1.04031,0.76213,1.14775,0.83598,0.76934,0.83526,0.46285,1.45736,1.10127,1.52876,0.000545937,0.000545937,0.000545937
49,223.997,0.98761,0.73894,1.11285,0.76874,0.72132,0.73434,0.34847,1.74204,1.34959,1.73063,0.000515,0.000515,0.000515
50,228.704,1.00351,0.73929,1.12813,0.79931,0.67925,0.71631,0.3151,1.87642,1.33111,1.78804,0.000484063,0.000484063,0.000484063
51,233.393,1.0064,0.7664,1.12862,0.8406,0.67925,0.76993,0.36321,1.77959,1.21019,1.71943,0.000453125,0.000453125,0.000453125
52,238.103,0.96538,0.69771,1.09187,0.76585,0.82075,0.81409,0.41546,1.62128,1.09646,1.6021,0.000422187,0.000422187,0.000422187
53,242.839,0.9548,0.69061,1.09939,0.81202,0.72642,0.78052,0.41084,1.54883,1.13923,1.55084,0.00039125,0.00039125,0.00039125
54,247.449,0.94155,0.67926,1.08094,0.7625,0.74528,0.77964,0.42153,1.56172,1.15544,1.54554,0.000360313,0.000360313,0.000360313
55,254.68,0.88514,0.65797,1.04992,0.80636,0.66981,0.75632,0.36663,1.70979,1.30752,1.69217,0.000329375,0.000329375,0.000329375
56,259.403,0.8896,0.59215,1.03177,0.85528,0.76415,0.81222,0.44161,1.54123,1.18838,1.53731,0.000298438,0.000298438,0.000298438
