epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.688,1.3718,2.20134,1.38575,0.76652,0.64593,0.72204,0.43285,1.36909,1.6875,1.42779,0.00332449,0.00332449,0.00332449
2,592.608,1.17947,1.08574,1.18779,0.66677,0.54621,0.59514,0.33661,1.57521,1.58433,1.55689,0.00645185,0.00645185,0.00645185
3,894.667,1.21486,0.95444,1.21438,0.64999,0.51153,0.54537,0.29682,1.75218,1.63592,1.79004,0.00937296,0.00937296,0.00937296
4,1199.96,1.20127,0.88254,1.21202,0.46793,0.49711,0.42503,0.23,1.82655,1.89207,1.81066,0.00907188,0.00907188,0.00907188
5,1503.62,1.09393,0.74405,1.14549,0.72581,0.54116,0.61138,0.34971,1.73784,1.46457,1.69743,0.0087625,0.0087625,0.0087625
6,1804.9,1.02356,0.66435,1.10523,0.71746,0.59242,0.62835,0.36402,1.76161,1.48966,1.75873,0.00845313,0.00845313,0.00845313
7,2107.51,0.96888,0.60911,1.07268,0.70403,0.5994,0.63198,0.3547,1.73718,1.35482,1.65378,0.00814375,0.00814375,0.00814375
8,2413.35,0.9209,0.56401,1.05165,0.70609,0.56115,0.62014,0.37135,1.78512,1.40788,1.7493,0.00783438,0.00783438,0.00783438
9,2717.93,0.88356,0.53341,1.0303,0.71654,0.60144,0.63489,0.37366,1.6076,1.37944,1.58691,0.007525,0.007525,0.007525
10,3024.81,0.84235,0.50015,1.01255,0.74257,0.59357,0.63673,0.35469,1.76098,1.50547,1.69158,0.00721562,0.00721562,0.00721562
11,3330.77,0.81731,0.47666,0.99836,0.72538,0.66282,0.67136,0.37742,1.72976,1.29226,1.69108,0.00690625,0.00690625,0.00690625
12,3632.85,0.79815,0.46552,0.99087,0.7904,0.62485,0.69138,0.37028,1.80029,1.31145,1.77132,0.00659688,0.00659688,0.00659688
13,3932.85,0.7703,0.44474,0.97646,0.73979,0.58412,0.64294,0.34392,1.89378,1.42148,1.79683,0.0062875,0.0062875,0.0062875
14,4233.14,0.75114,0.42754,0.96978,0.75336,0.64619,0.68314,0.3876,1.77028,1.21805,1.70359,0.00597812,0.00597812,0.00597812
15,4533.34,0.72661,0.4117,0.95907,0.75843,0.63133,0.67494,0.36587,1.78454,1.39457,1.7291,0.00566875,0.00566875,0.00566875
16,4838.6,0.71412,0.40239,0.95548,0.7297,0.60433,0.64748,0.38023,1.86381,1.33321,1.80896,0.00535937,0.00535937,0.00535937
17,5140.6,0.6951,0.3898,0.94734,0.7419,0.61224,0.68159,0.4064,1.73991,1.36365,1.70003,0.00505,0.00505,0.00505
18,5441.44,0.67777,0.38002,0.94202,0.7322,0.63285,0.67384,0.37811,1.84774,1.3451,1.78203,0.00474063,0.00474063,0.00474063
19,5739.68,0.65825,0.3662,0.93377,0.72411,0.61967,0.65252,0.38867,1.79551,1.37118,1.78006,0.00443125,0.00443125,0.00443125
20,6036.85,0.64244,0.35699,0.92887,0.71491,0.65,0.66939,0.37781,1.78524,1.35379,1.77294,0.00412187,0.00412187,0.00412187
21,6335.82,0.62986,0.34828,0.92322,0.73106,0.60144,0.64475,0.36403,1.85655,1.44183,1.82052,0.0038125,0.0038125,0.0038125
22,6635.27,0.61605,0.33739,0.9178,0.72264,0.63177,0.66197,0.38189,1.81323,1.3199,1.82263,0.00350313,0.00350313,0.00350313
23,6934.87,0.50196,0.24914,0.85147,0.74531,0.62647,0.67199,0.40024,1.82935,1.25467,1.83716,0.00319375,0.00319375,0.00319375
24,7241.58,0.46985,0.23495,0.84093,0.72303,0.62859,0.66809,0.38358,1.89189,1.29333,1.91368,0.00288438,0.00288438,0.00288438
25,7543.33,0.44866,0.22609,0.83335,0.71831,0.63243,0.67235,0.3928,1.88769,1.30152,1.88462,0.002575,0.002575,0.002575
26,7841.3,0.42563,0.2191,0.82604,0.72553,0.61877,0.67605,0.39513,1.89246,1.29845,1.91899,0.00226562,0.00226562,0.00226562
27,8140.95,0.40563,0.20901,0.81995,0.71483,0.65993,0.68791,0.39969,1.90371,1.24426,1.93537,0.00195625,0.00195625,0.00195625
28,8443.64,0.38863,0.1986,0.81663,0.7145,0.63965,0.68096,0.40244,1.89272,1.23413,1.94265,0.00164688,0.00164688,0.00164688
29,8744.85,0.36705,0.19009,0.80751,0.72974,0.62563,0.68184,0.40807,1.89538,1.25437,1.96927,0.0013375,0.0013375,0.0013375
30,9047.6,0.35008,0.18177,0.80377,0.71797,0.63899,0.68161,0.40286,1.91411,1.27431,2.00242,0.00102812,0.00102812,0.00102812
31,9344.76,0.33227,0.1743,0.79952,0.72997,0.63321,0.68619,0.40903,1.89904,1.28354,1.99967,0.00071875,0.00071875,0.00071875
32,9646.87,0.31673,0.16581,0.79511,0.72614,0.63791,0.68855,0.40862,1.9134,1.30463,2.0274,0.000409375,0.000409375,0.000409375
